,electorates,postcode
0,"Grayndler, Sydney",2000
1,Sydney,2001
2,,2002
3,,2004
4,Sydney,2006
5,Sydney,2007
6,Sydney,2008
7,Sydney,2009
8,"Sydney, Wentworth",2010
9,"Sydney, Wentworth",2011
10,,2012
11,,2013
12,Sydney,2015
13,Sydney,2016
14,Sydney,2017
15,"Kingsford Smith, Sydney",2018
16,Kingsford Smith,2019
17,Kingsford Smith,2020
18,Wentworth,2021
19,Wentworth,2022
20,Wentworth,2023
21,Wentworth,2024
22,Wentworth,2025
23,Wentworth,2026
24,Wentworth,2027
25,Wentworth,2028
26,Wentworth,2029
27,Wentworth,2030
28,"Kingsford Smith, Wentworth",2031
29,Kingsford Smith,2032
30,Kingsford Smith,2033
31,Kingsford Smith,2034
32,Kingsford Smith,2035
33,Kingsford Smith,2036
34,Sydney,2037
35,"Grayndler, Sydney",2038
36,Grayndler,2039
37,Grayndler,2040
38,Grayndler,2041
39,"Grayndler, Sydney",2042
40,Sydney,2043
41,"Barton, Grayndler, Sydney",2044
42,Grayndler,2045
43,Reid,2046
44,"Grayndler, Reid",2047
45,"Grayndler, Sydney",2048
46,Grayndler,2049
47,"Grayndler, Sydney",2050
48,Kingsford Smith,2052
49,,2055
50,,2057
51,,2058
52,,2059
53,North Sydney,2060
54,North Sydney,2061
55,North Sydney,2062
56,North Sydney,2063
57,North Sydney,2064
58,North Sydney,2065
59,North Sydney,2066
60,"Bennelong, Bradfield, North Sydney",2067
61,North Sydney,2068
62,Bradfield,2069
63,Bradfield,2070
64,Bradfield,2071
65,Bradfield,2072
66,Bradfield,2073
67,Bradfield,2074
68,Bradfield,2075
69,"Bradfield, Berowra",2076
70,"Berowra, Bradfield",2077
71,"Bradfield, Berowra",2079
72,Berowra,2080
73,Berowra,2081
74,Berowra,2082
75,"Berowra, Robertson",2083
76,Mackellar,2084
77,Mackellar,2085
78,"Mackellar, Warringah",2086
79,"Mackellar, Warringah",2087
80,Warringah,2088
81,"North Sydney, Warringah",2089
82,"North Sydney, Warringah",2090
83,,2091
84,Warringah,2092
85,Warringah,2093
86,Warringah,2094
87,Warringah,2095
88,Warringah,2096
89,Mackellar,2097
90,"Mackellar, Warringah",2099
91,"Mackellar, Warringah",2100
92,Mackellar,2101
93,Mackellar,2102
94,Mackellar,2103
95,Mackellar,2104
96,Mackellar,2105
97,Mackellar,2106
98,Mackellar,2107
99,Mackellar,2108
100,,2109
101,North Sydney,2110
102,"Bennelong, North Sydney",2111
103,Bennelong,2112
104,Bennelong,2113
105,Bennelong,2114
106,"Bennelong, Parramatta",2115
107,Parramatta,2116
108,"Bennelong, Parramatta",2117
109,"Bennelong, Berowra, Parramatta",2118
110,"Bennelong, Berowra",2119
111,Berowra,2120
112,Bennelong,2121
113,Bennelong,2122
114,,2123
115,,2124
116,"Mitchell, Berowra",2125
117,Berowra,2126
118,Reid,2127
119,"Blaxland, Reid",2128
120,Reid,2129
121,"Grayndler, Watson",2130
122,"Grayndler, Reid, Watson",2131
123,"Reid, Watson",2132
124,Watson,2133
125,"Reid, Watson",2134
126,Reid,2135
127,Watson,2136
128,Reid,2137
129,Reid,2138
130,,2139
131,Reid,2140
132,"Blaxland, Watson, Reid",2141
133,"Blaxland, Parramatta",2142
134,Blaxland,2143
135,"Blaxland, Reid",2144
136,"Greenway, McMahon, Parramatta",2145
137,"Greenway, Mitchell, Parramatta",2146
138,Greenway,2147
139,"Greenway, Chifley, McMahon",2148
140,Parramatta,2150
141,"Mitchell, Parramatta",2151
142,"Mitchell, Parramatta",2152
143,Mitchell,2153
144,"Berowra, Mitchell",2154
145,"Greenway, Mitchell",2155
146,"Berowra, Mitchell",2156
147,Berowra,2157
148,Berowra,2158
149,Berowra,2159
150,"McMahon, Parramatta",2160
151,"Blaxland, Fowler, McMahon, Parramatta",2161
152,Blaxland,2162
153,"Blaxland, Fowler",2163
154,McMahon,2164
155,"Fowler, McMahon",2165
156,"Fowler, McMahon",2166
157,Werriwa,2167
158,Werriwa,2168
159,"Hughes, Fowler, Werriwa",2170
160,Werriwa,2171
161,Hughes,2172
162,Hughes,2173
163,"Hughes, Werriwa",2174
164,McMahon,2175
165,"Fowler, McMahon",2176
166,"Fowler, Werriwa",2177
167,"McMahon, Werriwa",2178
168,"Macarthur, Werriwa",2179
169,Watson,2190
170,Watson,2191
171,"Barton, Watson",2192
172,"Barton, Grayndler, Watson",2193
173,"Barton, Watson",2194
174,Watson,2195
175,Watson,2196
176,Blaxland,2197
177,Blaxland,2198
178,Blaxland,2199
179,"Blaxland, Watson",2200
180,"Barton, Grayndler",2203
181,"Grayndler, Barton",2204
182,Barton,2205
183,Barton,2206
184,Barton,2207
185,"Barton, Watson",2208
186,"Barton, Banks, Watson",2209
187,"Banks, Watson",2210
188,"Banks, Blaxland, Watson",2211
189,"Blaxland, Banks",2212
190,Banks,2213
191,"Banks, Blaxland",2214
192,Barton,2216
193,"Barton, Cook",2217
194,"Barton, Banks",2218
195,Cook,2219
196,"Barton, Banks",2220
197,"Banks, Cook",2221
198,"Banks, Barton",2222
199,Banks,2223
200,"Cook, Hughes",2224
201,Hughes,2225
202,Hughes,2226
203,"Hughes, Cook",2227
204,Cook,2228
205,Cook,2229
206,"Hughes, Cook",2230
207,Cook,2231
208,"Hughes, Cunningham",2232
209,Hughes,2233
210,Hughes,2234
211,"Dobell, Hunter, Robertson",2250
212,Robertson,2251
213,,2252
214,Robertson,2256
215,Robertson,2257
216,Dobell,2258
217,"Dobell, Shortland, Hunter",2259
218,"Dobell, Robertson",2260
219,Dobell,2261
220,"Dobell, Shortland",2262
221,Dobell,2263
222,Hunter,2264
223,Hunter,2265
224,Hunter,2267
225,Hunter,2278
226,Shortland,2280
227,Shortland,2281
228,Shortland,2282
229,Hunter,2283
230,"Hunter, Shortland",2284
231,"Newcastle, Hunter, Shortland",2285
232,Hunter,2286
233,"Newcastle, Hunter",2287
234,"Newcastle, Shortland",2289
235,Shortland,2290
236,Newcastle,2291
237,Newcastle,2292
238,Newcastle,2293
239,Newcastle,2294
240,"Newcastle, Paterson",2295
241,Newcastle,2296
242,Newcastle,2297
243,Newcastle,2298
244,Newcastle,2299
245,Newcastle,2300
246,Newcastle,2302
247,Newcastle,2303
248,Newcastle,2304
249,"Newcastle, Shortland",2305
250,Shortland,2306
251,Newcastle,2307
252,Newcastle,2308
253,,2309
254,,2310
255,Lyne,2311
256,Lyne,2312
257,Paterson,2314
258,"Paterson, Lyne",2315
259,Paterson,2316
260,"Paterson, Lyne",2317
261,"Lyne, Paterson",2318
262,Paterson,2319
263,"Hunter, Lyne, Paterson",2320
264,"Lyne, Paterson",2321
265,"Newcastle, Lyne, Paterson",2322
266,"Hunter, Paterson",2323
267,"Lyne, Paterson",2324
268,"Hunter, Paterson",2325
269,"Paterson, Hunter",2326
270,"Hunter, Paterson",2327
271,Hunter,2328
272,"New England, Parkes",2329
273,"Hunter, Macquarie, New England",2330
274,Hunter,2331
275,"Hunter, New England",2333
276,"Hunter, Paterson",2334
277,"Hunter, Lyne",2335
278,"Hunter, New England",2336
279,New England,2337
280,New England,2338
281,New England,2339
282,"New England, Parkes",2340
283,New England,2341
284,"New England, Parkes",2342
285,"New England, Parkes",2343
286,New England,2344
287,New England,2345
288,New England,2346
289,"Parkes, New England",2347
290,,2348
291,New England,2350
292,New England,2351
293,New England,2352
294,New England,2353
295,New England,2354
296,New England,2355
297,Parkes,2356
298,"New England, Parkes",2357
299,New England,2358
300,New England,2359
301,"New England, Parkes",2360
302,New England,2361
303,New England,2365
304,New England,2369
305,"New England, Page",2370
306,New England,2371
307,New England,2372
308,"New England, Parkes",2379
309,"Parkes, New England",2380
310,"New England, Parkes",2381
311,Parkes,2382
312,Parkes,2386
313,Parkes,2387
314,Parkes,2388
315,"New England, Parkes",2390
316,Parkes,2395
317,Parkes,2396
318,Parkes,2397
319,Parkes,2398
320,Parkes,2399
321,Parkes,2400
322,Parkes,2401
323,"New England, Parkes",2402
324,"Parkes, New England",2403
325,"Parkes, New England",2404
326,Parkes,2405
327,"Parkes, Maranoa",2406
328,Parkes,2408
329,Parkes,2409
330,New England,2410
331,Parkes,2411
332,Lyne,2415
333,Lyne,2420
334,Lyne,2421
335,Lyne,2422
336,Lyne,2423
337,Lyne,2424
338,Lyne,2425
339,Lyne,2426
340,Lyne,2427
341,Lyne,2428
342,Lyne,2429
343,Lyne,2430
344,Cowper,2431
345,Lyne,2439
346,"Cowper, New England",2440
347,"Cowper, Lyne",2441
348,,2442
349,Lyne,2443
350,"Cowper, Lyne",2444
351,Lyne,2445
352,Lyne,2446
353,Cowper,2447
354,Cowper,2448
355,Cowper,2449
356,"Cowper, Page",2450
357,Cowper,2452
358,"Cowper, New England, Page",2453
359,Cowper,2454
360,Cowper,2455
361,Page,2456
362,Page,2460
363,Page,2462
364,Page,2463
365,Page,2464
366,Page,2465
367,Page,2466
368,"Page, New England",2469
369,Page,2470
370,Page,2471
371,Page,2472
372,Page,2473
373,Page,2474
374,"New England, Page",2475
375,"New England, Page",2476
376,"Page, Richmond",2477
377,"Richmond, Page",2478
378,Richmond,2479
379,"Richmond, Page",2480
380,Richmond,2481
381,Richmond,2482
382,Richmond,2483
383,Richmond,2484
384,Richmond,2485
385,Richmond,2486
386,Richmond,2487
387,Richmond,2488
388,Richmond,2489
389,Richmond,2490
390,Cunningham,2500
391,"Cunningham, Whitlam",2502
392,Cunningham,2505
393,Whitlam,2506
394,"Cunningham, Hume",2508
395,Cunningham,2515
396,Cunningham,2516
397,Cunningham,2517
398,Cunningham,2518
399,Cunningham,2519
400,,2520
401,,2521
402,,2522
403,Cunningham,2525
404,"Cunningham, Whitlam",2526
405,"Whitlam, Gilmore",2527
406,Whitlam,2528
407,Whitlam,2529
408,Whitlam,2530
409,"Gilmore, Whitlam",2533
410,Gilmore,2534
411,Gilmore,2535
412,Gilmore,2536
413,"Gilmore, Eden-Monaro",2537
414,Gilmore,2538
415,Gilmore,2539
416,"Gilmore, Fenner",2540
417,Gilmore,2541
418,"Eden-Monaro, Gilmore",2545
419,Eden-Monaro,2546
420,Eden-Monaro,2548
421,Eden-Monaro,2549
422,Eden-Monaro,2550
423,Eden-Monaro,2551
424,"Hume, Lindsay, Werriwa",2555
425,"Macarthur, Hume, Werriwa",2556
426,"Macarthur, Werriwa",2557
427,Macarthur,2558
428,Macarthur,2559
429,"Hume, Macarthur",2560
430,Macarthur,2563
431,Werriwa,2564
432,"Macarthur, Werriwa",2565
433,Macarthur,2566
434,"Macarthur, Hume",2567
435,"Hume, Macarthur",2568
436,Hume,2569
437,"Hume, Macarthur",2570
438,Hume,2571
439,Hume,2572
440,Hume,2573
441,"Hume, Whitlam",2574
442,"Hume, Whitlam",2575
443,Whitlam,2576
444,"Hume, Gilmore, Whitlam",2577
445,Hume,2578
446,"Hume, Whitlam",2579
447,"Hume, Calare, Eden-Monaro",2580
448,"Hume, Eden-Monaro",2581
449,"Eden-Monaro, Hume, Riverina",2582
450,Hume,2583
451,"Eden-Monaro, Riverina",2584
452,Riverina,2585
453,"Hume, Eden-Monaro, Riverina",2586
454,Riverina,2587
455,Riverina,2588
456,Riverina,2590
457,Riverina,2594
458,Canberra,2600
459,Canberra,2601
460,Fenner,2602
461,Canberra,2603
462,Canberra,2604
463,Canberra,2605
464,Canberra,2606
465,Canberra,2607
466,,2608
467,"Fenner, Canberra",2609
468,,2610
469,"Canberra, Eden-Monaro",2611
470,"Canberra, Fenner",2612
471,Fenner,2614
472,Fenner,2615
473,,2616
474,"Canberra, Fenner",2617
475,"Fenner, Eden-Monaro",2618
476,Eden-Monaro,2619
477,"Canberra, Eden-Monaro, Fenner",2620
478,Eden-Monaro,2621
479,"Eden-Monaro, Gilmore",2622
480,Eden-Monaro,2623
481,Eden-Monaro,2624
482,Eden-Monaro,2625
483,Eden-Monaro,2626
484,Eden-Monaro,2627
485,"Eden-Monaro, Gilmore",2628
486,Eden-Monaro,2629
487,Eden-Monaro,2630
488,Eden-Monaro,2631
489,Eden-Monaro,2632
490,Eden-Monaro,2633
491,"Farrer, Eden-Monaro",2640
492,Farrer,2641
493,"Farrer, Eden-Monaro, Riverina",2642
494,Farrer,2643
495,Farrer,2644
496,"Farrer, Riverina",2645
497,Farrer,2646
498,Farrer,2647
499,"Farrer, Parkes",2648
500,Eden-Monaro,2649
501,"Farrer, Riverina",2650
502,Riverina,2651
503,"Farrer, Riverina, Eden-Monaro",2652
504,Eden-Monaro,2653
505,Riverina,2655
506,"Farrer, Riverina",2656
507,"Farrer, Riverina",2658
508,"Farrer, Riverina",2659
509,Farrer,2660
510,Riverina,2661
511,Riverina,2663
512,"Farrer, Riverina",2665
513,Riverina,2666
514,Riverina,2668
515,"Farrer, Riverina, Parkes",2669
516,"Riverina, Parkes",2671
517,Parkes,2672
518,Farrer,2675
519,Riverina,2678
520,Farrer,2680
521,Farrer,2681
522,Farrer,2700
523,Riverina,2701
524,Riverina,2702
525,Farrer,2703
526,Farrer,2705
527,Farrer,2706
528,Farrer,2707
529,,2708
530,Farrer,2710
531,Farrer,2711
532,Farrer,2712
533,Farrer,2713
534,Farrer,2714
535,Farrer,2715
536,Farrer,2716
537,Farrer,2717
538,Eden-Monaro,2720
539,Riverina,2721
540,"Eden-Monaro, Riverina",2722
541,Riverina,2725
542,Riverina,2726
543,"Eden-Monaro, Riverina",2727
544,"Eden-Monaro, Riverina",2729
545,Eden-Monaro,2730
546,Farrer,2731
547,Farrer,2732
548,Farrer,2733
549,Farrer,2734
550,Farrer,2735
551,Farrer,2736
552,Farrer,2737
553,Farrer,2738
554,Farrer,2739
555,"Lindsay, Hume",2745
556,"Lindsay, Chifley",2747
557,"Lindsay, McMahon",2748
558,Lindsay,2749
559,Lindsay,2750
560,,2751
561,Hume,2752
562,"Lindsay, Macquarie",2753
563,Macquarie,2754
564,Macquarie,2755
565,"Berowra, Macquarie",2756
566,Macquarie,2757
567,Macquarie,2758
568,McMahon,2759
569,"Lindsay, Chifley",2760
570,Chifley,2761
571,"Greenway, Chifley",2762
572,"Greenway, Chifley",2763
573,"Greenway, Chifley, Lindsay, Mitchell, Berowra, Macquarie",2765
574,"Chifley, McMahon",2766
575,Chifley,2767
576,Greenway,2768
577,Greenway,2769
578,"Chifley, McMahon",2770
579,Macquarie,2773
580,Macquarie,2774
581,"Macquarie, Berowra, Robertson",2775
582,Macquarie,2776
583,Macquarie,2777
584,Macquarie,2778
585,Macquarie,2779
586,Macquarie,2780
587,Macquarie,2782
588,Macquarie,2783
589,Macquarie,2784
590,"Macquarie, Calare",2785
591,"Macquarie, Calare",2786
592,"Hume, Calare",2787
593,Calare,2790
594,Calare,2791
595,"Calare, Riverina",2792
596,Riverina,2793
597,"Hume, Riverina",2794
598,Calare,2795
599,,2796
600,"Calare, Riverina",2797
601,Calare,2798
602,"Calare, Riverina",2799
603,Calare,2800
604,Riverina,2803
605,"Calare, Riverina",2804
606,"Calare, Riverina",2805
607,"Calare, Riverina",2806
608,Riverina,2807
609,"Hume, Riverina",2808
610,Riverina,2809
611,Riverina,2810
612,"Calare, Parkes",2820
613,Parkes,2821
614,"Parkes, Riverina",2823
615,Parkes,2824
616,Parkes,2825
617,Parkes,2827
618,Parkes,2828
619,Parkes,2829
620,"Calare, Parkes",2830
621,"Parkes, Calare",2831
622,Parkes,2832
623,Parkes,2833
624,Parkes,2834
625,Parkes,2835
626,Parkes,2836
627,Parkes,2839
628,Parkes,2840
629,Parkes,2842
630,"New England, Parkes",2843
631,"Calare, Parkes",2844
632,Calare,2845
633,Calare,2846
634,Calare,2847
635,Calare,2848
636,Calare,2849
637,"Calare, New England",2850
638,"Calare, Parkes",2852
639,Calare,2864
640,Calare,2865
641,Calare,2866
642,Calare,2867
643,Calare,2868
644,"Riverina, Parkes",2869
645,"Calare, Riverina",2870
646,"Riverina, Parkes",2871
647,"Parkes, Riverina",2873
648,"Parkes, Riverina",2874
649,"Parkes, Riverina",2875
650,Riverina,2876
651,"Parkes, Riverina",2877
652,"Farrer, Parkes",2878
653,Parkes,2879
654,"Maranoa, Parkes",2880
655,,2890
656,,2891
657,Sydney,2898
658,,2899
659,Canberra,2900
660,,2901
661,Canberra,2902
662,Canberra,2903
663,Canberra,2904
664,Canberra,2905
665,Canberra,2906
666,Fenner,2911
667,Fenner,2912
668,Fenner,2913
669,Fenner,2914
670,Melbourne,3000
671,,3001
672,Melbourne,3002
673,Melbourne,3003
674,"Melbourne Ports, Melbourne",3004
675,,3005
676,Melbourne Ports,3006
677,"Melbourne Ports, Melbourne",3008
678,,3010
679,Gellibrand,3011
680,"Gellibrand, Maribyrnong",3012
681,Gellibrand,3013
682,Gellibrand,3015
683,Gellibrand,3016
684,Gellibrand,3018
685,Maribyrnong,3019
686,"Gellibrand, Maribyrnong",3020
687,"Gorton, Maribyrnong",3021
688,Gellibrand,3022
689,Gorton,3023
690,"Gorton, Lalor",3024
691,Gellibrand,3025
692,"Gellibrand, Lalor",3026
693,Lalor,3027
694,"Gellibrand, Lalor",3028
695,"Lalor, Gorton",3029
696,"Gorton, Lalor",3030
697,Melbourne,3031
698,"Maribyrnong, Melbourne",3032
699,"Calwell, Maribyrnong",3033
700,Maribyrnong,3034
701,Calwell,3036
702,"Gorton, Calwell",3037
703,Calwell,3038
704,Maribyrnong,3039
705,Maribyrnong,3040
706,"Maribyrnong, Wills",3041
707,"Calwell, Maribyrnong",3042
708,"Calwell, Wills",3043
709,Wills,3044
710,Calwell,3045
711,Wills,3046
712,Calwell,3047
713,Calwell,3048
714,Calwell,3049
715,,3050
716,Melbourne,3051
717,Melbourne,3052
718,Melbourne,3053
719,Melbourne,3054
720,Wills,3055
721,Wills,3056
722,Wills,3057
723,"Batman, Wills",3058
724,Calwell,3059
725,"Calwell, Wills",3060
726,Calwell,3061
727,Calwell,3062
728,McEwen,3063
729,"Calwell, McEwen",3064
730,Melbourne,3065
731,Melbourne,3066
732,Melbourne,3067
733,"Batman, Melbourne, Wills",3068
734,Batman,3070
735,Batman,3071
736,Batman,3072
737,Batman,3073
738,"Batman, Scullin",3074
739,Scullin,3075
740,Scullin,3076
741,Batman,3078
742,Jagajaga,3079
743,Jagajaga,3081
744,Scullin,3082
745,"Batman, Jagajaga, Scullin",3083
746,Jagajaga,3084
747,"Batman, Jagajaga",3085
748,,3086
749,"Jagajaga, Scullin",3087
750,"Jagajaga, Scullin",3088
751,Scullin,3089
752,Scullin,3090
753,Scullin,3091
754,Jagajaga,3093
755,Jagajaga,3094
756,Jagajaga,3095
757,Scullin,3096
758,"Jagajaga, McEwen",3097
759,"McEwen, Scullin",3099
760,Kooyong,3101
761,Kooyong,3102
762,Kooyong,3103
763,Kooyong,3104
764,Menzies,3105
765,Menzies,3106
766,Menzies,3107
767,Menzies,3108
768,Menzies,3109
769,,3110
770,Menzies,3111
771,"Jagajaga, Menzies",3113
772,Menzies,3114
773,"Menzies, Casey",3115
774,Casey,3116
775,Melbourne,3121
776,Kooyong,3122
777,"Higgins, Kooyong",3123
778,"Higgins, Kooyong",3124
779,Chisholm,3125
780,Kooyong,3126
781,"Chisholm, Kooyong",3127
782,Chisholm,3128
783,"Chisholm, Kooyong",3129
784,"Chisholm, Deakin",3130
785,"Chisholm, Deakin",3131
786,Deakin,3132
787,Deakin,3133
788,"Deakin, Menzies",3134
789,Deakin,3135
790,"Casey, Deakin, Menzies",3136
791,Casey,3137
792,Casey,3138
793,"Casey, La Trobe",3139
794,Casey,3140
795,"Higgins, Melbourne Ports",3141
796,Higgins,3142
797,Higgins,3143
798,Higgins,3144
799,"Higgins, Melbourne Ports",3145
800,"Higgins, Kooyong",3146
801,"Higgins, Chisholm",3147
802,Chisholm,3148
803,"Bruce, Chisholm",3149
804,Bruce,3150
805,Chisholm,3151
806,Aston,3152
807,"Aston, Casey, Deakin",3153
808,"Aston, La Trobe",3154
809,"Aston, La Trobe",3155
810,"Aston, Holt, La Trobe",3156
811,La Trobe,3158
812,La Trobe,3159
813,La Trobe,3160
814,Melbourne Ports,3161
815,"Goldstein, Melbourne Ports",3162
816,"Goldstein, Higgins, Hotham, Melbourne Ports",3163
817,,3164
818,Hotham,3165
819,"Higgins, Hotham, Chisholm",3166
820,"Hotham, Chisholm",3167
821,"Hotham, Bruce, Chisholm",3168
822,"Hotham, Chisholm",3169
823,Bruce,3170
824,"Bruce, Hotham",3171
825,Hotham,3172
826,"Hotham, Isaacs",3173
827,"Hotham, Isaacs, Bruce",3174
828,"Isaacs, Bruce",3175
829,,3176
830,Holt,3177
831,Aston,3178
832,Aston,3179
833,Aston,3180
834,"Higgins, Melbourne Ports",3181
835,Melbourne Ports,3182
836,Melbourne Ports,3183
837,Melbourne Ports,3184
838,"Goldstein, Melbourne Ports",3185
839,Goldstein,3186
840,Goldstein,3187
841,Goldstein,3188
842,Hotham,3189
843,"Goldstein, Hotham",3190
844,Goldstein,3191
845,"Goldstein, Hotham",3192
846,Goldstein,3193
847,"Hotham, Isaacs",3194
848,Isaacs,3195
849,Isaacs,3196
850,Isaacs,3197
851,Dunkley,3198
852,Dunkley,3199
853,Dunkley,3200
854,"Isaacs, Dunkley",3201
855,Hotham,3202
856,"Goldstein, Higgins, Hotham",3204
857,Melbourne Ports,3205
858,Melbourne Ports,3206
859,Melbourne Ports,3207
860,"Lalor, Corio",3211
861,Corio,3212
862,Corio,3214
863,Corio,3215
864,Corangamite,3216
865,Corangamite,3217
866,"Corio, Corangamite",3218
867,Corio,3219
868,Corio,3220
869,Corangamite,3221
870,"Corio, Corangamite",3222
871,Corio,3223
872,"Corangamite, Corio",3224
873,"Corio, Corangamite",3225
874,Corangamite,3226
875,Corangamite,3227
876,Corangamite,3228
877,Corangamite,3230
878,Corangamite,3231
879,Corangamite,3232
880,Corangamite,3233
881,Corangamite,3235
882,Corangamite,3236
